epic,story_id,round,timestamp,question_id,question_category,question,summary,result,severity,confidence,remediation_complexity,root_cause_category,evidence_files
"incoming-image-rendering","02",1,"2026-02-20T20:15:16","VQ-02-M01","TEST","Do all existing tests pass without regressions after the MIME inference changes?","All 127 test suites passed with 0 failures (2868 tests passed, 1 skipped). The media-parser and MediaAttachments changes have no regressions.","pass",1,1.0,"na","na","src/renderer/utils/media-parser.ts;src/renderer/utils/media-parser.test.ts;src/renderer/components/MediaAttachments/MediaAttachments.tsx;src/renderer/components/MediaAttachments/MediaAttachments.test.ts"
"incoming-image-rendering","02",1,"2026-02-20T20:26:32","VQ-03-002","SPEC","Does MediaAttachments use isRenderableImageMimeType (not isImageMimeType) for the inline render vs download link decision?","MediaAttachments imports isRenderableImageMimeType from media-parser and uses it exclusively at line 94 for the isImage branch decision; isImageMimeType is not imported or referenced anywhere in the file.","pass",9,1.0,"na","na","src/renderer/components/MediaAttachments/MediaAttachments.tsx:13-19;src/renderer/components/MediaAttachments/MediaAttachments.tsx:94-95"
"incoming-image-rendering","03",1,"2026-02-20T20:26:42","VQ-03-001","SPEC","Does isRenderableImageMimeType return true for all 7 Chromium-native formats (JPEG, PNG, GIF, WebP, AVIF, BMP, SVG) and false for non-renderable image types (HEIC, HEIF, TIFF)?","RENDERABLE_IMAGE_TYPES contains exactly the 7 required MIME types; isRenderableImageMimeType correctly returns false for HEIC/HEIF/TIFF; all 3 test cases pass (47/47 tests green).","pass",9,1.0,"na","na","src/renderer/utils/media-parser.ts:198-215;src/renderer/utils/media-parser.test.ts:365-387"
"incoming-image-rendering","03",2,"2026-02-20T20:27:33","VQ-03-003","QUALITY","Is isImageMimeType still exported and unchanged in src/renderer/utils/media-parser.ts?","isImageMimeType is exported at line 191-194 of media-parser.ts unchanged: checks mimeType.startsWith('image/') with undefined guard.","pass",2,1.0,"na","na","src/renderer/utils/media-parser.ts:191-194"
"incoming-image-rendering","03",2,"2026-02-20T20:27:33","VQ-03-M01","TEST","Do all tests pass? Run: npx jest media-parser.test.ts AND check if MediaAttachments.test.ts exists and its tests pass","media-parser.test.ts: 47/47 pass; MediaAttachments.test.ts: 24/24 pass; both files confirmed present.","pass",8,1.0,"na","na","src/renderer/utils/media-parser.test.ts;src/renderer/components/MediaAttachments/MediaAttachments.test.ts"
"incoming-image-rendering","03",2,"2026-02-20T20:27:33","VQ-03-M02","TEST","Run full test suite: npm test - verify 127/127 suites pass","Full suite: 127/127 test suites pass with 2871 tests passing and 1 skipped (pre-existing skip); no regressions.","pass",9,1.0,"na","na","(all 127 test suites)"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-001","SPEC","Does decryptNip17Message accept kind-15 wrapped events?","Function checks rumor.kind !== 14 && rumor.kind !== 15 and returns null only if both conditions fail; kind-15 is accepted and returned with kind field set. Dedicated test passes.","pass",8,1.0,"na","na","src/main/nostling/crypto.ts:565;src/main/nostling/nip17.test.ts:303"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-002","SPEC","Does processGiftWrapEvent accept kind-15 with actual kind value?","processGiftWrapEvent checks dmResult.kind === 14 || dmResult.kind === 15 at line 1624 and passes kind: dmResult.kind (not hardcoded) to ingestIncomingMessage at line 1636.","pass",8,1.0,"na","na","src/main/nostling/service.ts:1624;src/main/nostling/service.ts:1636"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-003","SPEC","Does buildKind15MediaJson correctly map kind-15 tags while ignoring thumb?","buildKind15MediaJson maps file-type->m, size->size, dim->dim, blurhash->blurhash, x->sha256 and has explicit comment that thumb tag is intentionally ignored. Service test confirms all mappings and thumb exclusion pass.","pass",7,1.0,"na","na","src/main/nostling/service.ts:2055;src/main/nostling/service.test.ts:842"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-004","SPEC","Does empty content kind-15 return null mediaJson?","buildKind15MediaJson returns null when contentUrl is falsy (line 2056). Service test at line 908 confirms empty-content kind-15 message results in undefined mediaJson.","pass",5,1.0,"na","na","src/main/nostling/service.ts:2056;src/main/nostling/service.test.ts:908"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-M01","TEST","All tests pass? Run: npm test","Full suite: 127 test suites passed, 2876 tests passed, 1 skipped, 0 failures.","pass",9,1.0,"na","na","src/main/nostling/nip17.test.ts;src/main/nostling/service.test.ts"
"incoming-image-rendering","01",1,"2026-02-20T20:38:26","VQ-01-M02","SPEC","Existing kind-14 behavior unchanged?","ingestIncomingMessage kind-14 path at line 685 is unmodified: still processes imeta/url tags via else-if branch. processGiftWrapEvent condition extended from kind===14 to kind===14||kind===15 additive only. All pre-existing service tests pass.","pass",8,1.0,"na","na","src/main/nostling/service.ts:685;src/main/nostling/service.ts:1624;src/main/nostling/service.test.ts"
"incoming-image-rendering","04",1,"2026-02-20T20:45:22","VQ-04-001","SPEC","Does isImageUrl correctly identify image URLs?","isImageUrl at linkify.ts:60-77 handles all 8 extensions (jpg/jpeg/png/gif/webp/avif/bmp/svg) HTTPS-only with blossom blob path detection; 8 tests covering all cases pass.","pass",2,1.0,"na","na","src/renderer/utils/linkify.ts:60-77;src/renderer/utils/linkify.test.ts:29-70"
"incoming-image-rendering","04",1,"2026-02-20T20:45:22","VQ-04-002","SPEC","Does MessageContent render image URLs as CachedImage with lightbox?","MessageContent at main.tsx:837-899 renders CachedImage with onClick setting lightboxUrl; InlineLightbox component at main.tsx:901-938 is rendered when lightboxUrl is set.","pass",7,1.0,"na","na","src/renderer/main.tsx:837-899;src/renderer/main.tsx:901-938"
"incoming-image-rendering","04",1,"2026-02-20T20:45:22","VQ-04-003","SPEC","Does MessageContent skip inline images when hasMediaJson is true?","Guard at main.tsx:854 is exactly '!hasMediaJson && isImageUrl(segment.url)' — when hasMediaJson is truthy the condition short-circuits and no CachedImage is rendered.","pass",6,1.0,"na","na","src/renderer/main.tsx:854"
"incoming-image-rendering","04",1,"2026-02-20T20:45:22","VQ-04-004","SPEC","Is hasMediaJson correctly passed from the MessageContent call site?","Call site at main.tsx:1009-1013 passes hasMediaJson={!!message.mediaJson} converting the nullable field to boolean; evaluates to true only when mediaJson is present.","pass",6,1.0,"na","na","src/renderer/main.tsx:1009-1013"
"incoming-image-rendering","04",1,"2026-02-20T20:45:22","VQ-04-M01","TEST","All tests pass?","Full test suite: 127 suites 2884 tests (1 pre-existing skip) all pass; linkify.test.ts 30/30 pass.","pass",8,1.0,"na","na","src/renderer/utils/linkify.test.ts"
"incoming-image-rendering","05",1,"2026-02-20T21:55:00","VQ-05-001","SPEC","Does processGiftWrapEvent log unrecognized kinds at info level?","processGiftWrapEvent checks for kinds other than 14 and 15 at line 1624 and logs at info level (line 1625) with kind number and event ID, then returns gracefully without inserting into database.","pass",7,1.0,"na","na","src/main/nostling/service.ts:1624-1627"
"incoming-image-rendering","05",1,"2026-02-20T21:55:00","VQ-05-002","SPEC","Does decryptNip17Message return results for any kind?","decryptNip17Message returns the full rumor object including kind field from nip17.unwrapEvent, not filtering by kind. Function is kind-agnostic; filtering is caller responsibility. Unit test at nip17.test.ts line 332-349 confirms kind-42 wrapped event unwraps successfully with kind field set to 42.","pass",8,1.0,"na","na","src/main/nostling/crypto.ts:551-581;src/main/nostling/nip17.test.ts:332-349"
"incoming-image-rendering","05",1,"2026-02-20T21:55:00","VQ-05-M01","TEST","Do all tests pass? Run: npm test","Full test suite: 127 test suites passed, 2883 tests passed, 1 skipped, 0 failures. No regressions detected.","pass",9,1.0,"na","na","(all 127 test suites)"
